id,career_id,responsibility,display_order
159aa4a3-df35-4a64-85c2-3cddb1d58dcf,fd3e273c-4cf1-4b20-9122-2df8484865da,Ensures products are accessible.,1
dcabb488-1d53-4a6b-adf8-4eee7f01cdbb,1941ffd3-962a-4a65-a68b-9ce983610e7f,Closes B2B sales deals.,1
594164a0-fdae-482b-99d3-c26445d0fa73,0b984268-b7f8-40a1-aed6-f4ade5897cd1,Manages relationships with existing clients.,1
b5310662-9612-4bce-8f50-98cc6d1566c9,c036bbc5-03a4-45e0-985e-eed3fde14342,Maintains financial records and statements.,1
da056c72-15de-4d85-a748-fb320d082a91,b3662f0a-eb24-4380-b4c2-f45812015914,"Performs roles in film, TV and theater.",1
d5a2a449-6fe1-4a8f-995b-9c70bb8b0811,a98c5ebd-39c7-449b-8304-2da02a3860ad,Uses math to assess risk for insurance and finance.,1
01fe6b1d-297d-4933-b8f7-8815340dbe5f,634c9313-9316-4de1-8b50-527197fa3cb8,Practices traditional acupuncture.,1
950fd838-27cd-442d-a10c-1a1d4b7d05d0,738d1cf0-4ec1-4002-8ccb-39379969eebb,Manages college admissions.,1
fbd90f89-747d-493d-94df-dc53b872af65,1d5d6c43-88f7-4b41-8c6b-e2e6f717313a,Leads adventure tours.,1
9e3763cb-9028-417a-97f8-dd82b618a117,501a0727-4141-4aa6-992c-77193e7ab8ff,Designs aircraft and spacecraft.,1
71ff09f8-bca3-4367-afc5-a0f1772f1a37,a912f566-dae8-46dd-8477-759d824e7eb0,Earns commission promoting products.,1
77ceb063-d548-4494-8b49-621fe66ff4a9,8ac2c589-7f8e-4a18-98d1-ed2e7dbc9804,Applies engineering to farming.,1
52668239-3f8d-460c-9832-cc1dead18eb8,365b0f83-e84f-43ab-a985-8a76adbf0094,Builds agricultural technology.,1
7b314a28-5c07-49bd-b905-46cf66829d15,8ed91ab3-df28-4f85-ad42-7b35b2d86226,Edits AI-generated content for publication.,1
b8eccb44-3f55-4d5c-93ba-92a7e4e5ee70,03ea1778-5ea3-4b4f-9b94-6855a384b906,Supports customers of AI products.,1
cb9203ba-ff3f-4d2e-84ea-71ecd699c7ce,a41862ac-82a3-4719-b432-bf90bf19a592,Advises on ethical implications of AI.,1
74f3808b-533a-4358-bc13-dbd509ec359e,6c29b48d-a3eb-4395-99eb-48b8c68f7ef7,Manages AI-powered products.,1
891d51ac-9101-464d-88f1-915ed81a51b8,544cf14b-7a36-4b35-988b-adc019f616ea,Researches novel algorithms in deep learning and AI.,1
ae211f3d-9150-4522-a2ed-ce219dce52ab,156ed6ac-9264-416c-8377-3581609e57ba,Labels and trains AI models.,1
0e475553-48d5-4a6f-9c3d-1e338490b666,34da7903-674c-464c-80dc-3757eb652e10,Designs AI-powered workflows.,1
06d1c17f-2a10-47ba-9368-370933c55b93,153878fa-54af-4bfc-9694-03ba39d6f953,Officer in the air force.,1
5b7c2fd1-dbfa-41a1-a06f-18c93d747367,2718f167-f488-4e72-985a-0f3b0cdcf155,Coordinates aircraft movement.,1
3b88476f-b3e2-4fb8-8606-1b065370f3c1,c9065566-b81f-4f92-bca7-96666e424aeb,Maintains aircraft mechanically.,1
108df4eb-6216-4438-9d2e-8dcb95d4e1dc,22f5eca9-2918-4b03-ab0b-444c98e1378b,Builds algorithmic trading systems.,1
e6d825ab-e22f-4bd6-ac6d-f8d291df7748,949ac5d1-2ecb-4d0c-9453-f4a85e66c91f,Sells via Amazon's fulfillment program.,1
dbdbd4a2-c9ec-4cd5-b971-0ffdc84e7c17,e800e865-4f70-469c-a9c8-668fb2ba3f41,Investigates anti-money laundering.,1
9add9e19-90fc-425d-8c9a-e333d463041d,183697c6-14ad-4db4-a84e-11ddaf0ea114,Builds native Android applications using Kotlin and Java.,1
0192998c-a14c-4429-8c9a-1c1a186343f1,87add0d1-7b93-44e9-941b-800dbd1612f9,Manages anesthesia during procedures.,1
bcd45751-b276-4645-883b-c7c9d7ee1144,6d8aa349-a2ef-47dd-8771-712f9d476a9f,Funds early-stage founders personally.,1
b14d51dd-747b-4367-8b0d-f9dc87644b56,2580a263-586a-46df-823c-d2000c0be036,Builds Angular-based frontends.,1
59603a9d-b065-4fe9-b248-a4d51e13256c,0e248f12-4e2f-4086-8b87-7b5dcb45c6aa,Studies animal behavior.,1
d03687d8-7094-4285-b0c6-7037c2b0b65e,66ffbc22-1a4a-4e8d-91a0-4615915d7371,"Trains animals for film, service or sport.",1
3e2f30b7-c019-4dac-ae1b-4cec5f36650c,714f63a7-5f55-41bf-af7f-7ee05b0da23c,Creates animated characters and scenes.,1
0e749113-9af0-4989-ac01-694e8fe8e859,03022e59-d3a1-42f6-8be5-447e5ac4b063,Studies human societies and cultures.,1
fe9f36b0-70db-4d93-818b-d4110c23f3a0,c635181f-9b1c-47f9-a087-64b3845903dd,Buys and sells antiques.,1
075f6304-31db-4095-90f9-c976f1d6a9a2,db5e9b3c-f693-4bba-82f2-3a01ac37660a,Applies ML research to real products.,1
d409f4e4-faaf-4a02-b455-fa40e0685dbf,64bbc8f1-a329-4629-88b3-328220d3708b,Farms fish and aquatic life.,1
7b395b86-7a83-46fa-960f-e0961d1ddd7e,a8e75caa-745d-48af-b73a-da9b0518d8c6,Creates augmented reality experiences.,1
0c685d4a-9d02-49d9-a440-d0a2b6d0ac48,efd3c8f7-1df6-4766-8e7b-b33c7beaf143,Builds augmented and virtual reality experiences.,1
a46c92a2-dfbc-41dc-9fc6-6eb9cc19270e,7ea06f8a-47db-4320-bcbc-be228eca929f,Decides disputes outside courts.,1
62d8b4b3-13ac-4be5-af0a-a5cbcb778ef1,1c18ca6a-1c6c-4441-8a17-adbadfcca5d6,Studies human history through artifacts.,1
9c790d5f-ccc5-4eb8-88a8-df4445a604f9,99de4035-fcc5-42ee-92a7-a90b303a5690,Designs buildings and built environments.,1
7285f79b-d6a0-44f4-bb33-5ed6a61cc938,1b6c7ca9-0b01-4b8a-b30d-04ae58ca925a,Curates art exhibitions and collections.,1
ebb7aa06-c02a-48b7-8fb4-f66fe5075ed5,73cecaa4-5d44-4ba5-b71b-659c302b5184,Buys and sells fine art.,1
dc8ffcba-a7eb-4f79-8f26-1f142d2e5981,c7bbfa2a-b50a-456a-a5c5-f13bcfb56002,Leads visual style of campaigns and products.,1
5d18b606-4a53-467a-97b8-3be4b603fcab,5866869c-1e3a-4f58-bdea-f7eab73cbe8b,Teaches visual arts.,1
