degree_id,roi_score,estimated_payback_months,demand_score,future_outlook_score,ai_disruption_risk,methodology_version,rationale,source_names,assessed_at,updated_at
597837c4-573a-4867-a1d0-a25ea66f80be,74,35,72,65,81,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
5834e2e0-66a5-4bc6-bf9c-ea31fb5d8c36,73,26,82,78,63,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
d0c907ee-5b63-41b5-bb03-c8ec4bb79134,75,60,85,93,24,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
b20ac2bb-2804-4d01-96bf-41b4a473517f,80,47,69,88,36,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
6f29ba31-e9fb-4d8c-8364-6506eb965c2b,61,55,83,64,69,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
060f9671-e91a-4f21-ac32-2afb00fac682,80,60,57,62,78,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
4800532e-ce5a-4737-8b73-140645531684,75,38,70,70,67,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
c50ea908-fbf6-4bee-b19f-75afe55ecf46,55,38,81,90,77,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
2048e0b3-1aaf-484e-b090-af8a96e12092,84,20,71,65,55,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
048ca5d8-c777-425e-902b-f955871a939b,51,54,83,55,73,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
68abcdf0-27ec-44f1-94f7-017e3cc18409,56,67,60,84,83,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
a9298ba6-b6d3-42c7-b41a-bb28a21933cf,69,35,52,67,62,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
8d48635f-0d6f-4e73-9373-a509cf6e9049,80,56,65,59,21,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
b6459ece-445e-4c85-b2ad-0c2f96566b0b,78,61,95,74,24,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
4a664610-6958-4aab-8c5a-8d30c6e11873,85,18,54,89,81,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
6cddc7fb-f1d3-40cb-9d62-97bcefa1f07b,79,44,87,90,54,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
71a9f2b5-66bd-4e19-a74f-9f8c9f54c48e,51,56,61,76,49,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
beeec42d-ff91-41ed-b302-a24975866040,60,20,76,90,52,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
4a5f606e-4abf-472e-a34d-a12a49195db1,53,59,80,88,83,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
a98e3c0e-cba2-4107-975a-3264a888227c,48,43,55,77,33,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
7b6a502b-662a-41a5-86d1-9cca64f2055e,66,32,73,58,83,education-outlook-2026.1,"Indicative comparative score generated from discipline, specialization, cost, and career-demand categories; replace with sourced institutional outcomes before high-stakes use.","{""Career catalog demand taxonomy"",""Indicative education cost model""}",2026-06-14,2026-06-14 05:26:28.246259+00
